drug,logrank_p,cox_hr,cox_p,n_sens,n_res,fdr_q
Remodelin,1.876451791494707e-05,13.993828211330388,4.415621476116244e-05,41,41,0.003153786062935428
LCL161,2.9526226437035465e-05,5.217596279858131,0.0024465049224813656,41,41,0.003153786062935428
OF-1,3.40336625496629e-05,13.93288076711779,9.848039456586428e-07,41,41,0.003153786062935428
CPI-637,9.943480726682459e-05,4.042424860279529,0.00030919293916400293,41,41,0.005774826272804465
RVX-208,0.00012811210082391264,6.691831222601382,0.00897755312695018,41,41,0.005774826272804465
Fulvestrant,0.00014674455436345337,17.202354507869103,0.0009890538322397738,41,41,0.005774826272804465
AZD5991,0.00016418427590486585,1.7530717457516187,0.0005631747256272545,41,41,0.005774826272804465
TAF1_5496,0.00016618205101595583,3.134586611389614,0.0002389441087982556,41,41,0.005774826272804465
Afuresertib,0.00024786886479126935,0.38113012301111293,0.00011693701145356911,41,41,0.007656393823552542
Dacarbazine,0.00029230976493392364,12.89092749839546,0.005761909884785405,41,41,0.008126211465163078
LY2109761,0.0003505292533084808,11.650415936180304,0.007959903488587631,41,41,0.00885883021997797
AGI-6780,0.0004267275219329115,4.639147626354161,0.04871153220018424,41,41,0.009505864768735859
Sepantronium bromide,0.0004775972086235109,0.38690657580070764,0.00018945891976497297,41,41,0.009505864768735859
Doramapimod,0.0004816076625356425,3.66142988140408,0.21981617884262816,41,41,0.009505864768735859
BEN,0.0005129063724138053,1.7167694338792092,0.005782868573568823,41,41,0.009505864768735859
PF-4708671,0.0005981174744401236,56.863736892419766,9.564425383884203e-06,41,41,0.010392291118397146
743380,0.0006461291195875119,2.5864298428160972,0.0036993633025770977,41,41,0.010566111485019312
741909,0.0010039464470491188,2.4775848862220102,0.0024515899189562727,41,41,0.015505395126647501
GSK2801,0.0010830639932446237,3.26355361026892,0.17602403034537323,41,41,0.01584693632221081
AZD5153,0.001536966902121616,2.677006629933505,0.0157604465260926,41,41,0.02035140522625529
