drug,n_samples,cv_r2_mean,cv_r2_std,best_alpha,predictable
AZD5991,542,0.595662377506138,0.05401110425203162,1274.2749857031322,True
Schweinfurthin A,541,0.5387574191155965,0.06050826581114005,1274.2749857031322,True
Venetoclax,692,0.5157459620327365,0.1006768636485494,2636.6508987303555,True
UNC0638,557,0.5095521123192693,0.057690087256253214,5455.594781168515,True
Nutlin-3a (-),699,0.5061970883807392,0.08033858018452883,615.8482110660261,True
Vorinostat,693,0.4843639425853136,0.06006148684001388,5455.594781168515,True
GSK626616AC,542,0.48431617645526526,0.05805044143543333,5455.594781168515,True
Tozasertib,173,0.4829358630692588,0.10891519486235864,2636.6508987303555,True
Nelarabine,541,0.4819627205898658,0.10213310174861337,5455.594781168515,True
MIRA-1,697,0.47811268099429427,0.10898915331083817,5455.594781168515,True
LMB_AB1,542,0.47489251795605314,0.06881230541411096,5455.594781168515,True
Lenalidomide,684,0.4722904393596112,0.10172417883366407,11288.378916846883,True
GSK2830371,556,0.4716415279295254,0.04255525751603876,11288.378916846883,True
Oxaliplatin,698,0.4689332362083062,0.08389230109928385,5455.594781168515,True
Axitinib,693,0.45215847527773523,0.03944490717779481,5455.594781168515,True
Olaparib,698,0.45062055955632435,0.10430504531022745,2636.6508987303555,True
Cytarabine,566,0.4489831859314233,0.10605734494415958,2636.6508987303555,True
BI-2536,662,0.4451770581126545,0.10052391858714496,5455.594781168515,True
Trametinib,698,0.43696619312279283,0.061620980415221766,2636.6508987303555,True
Niraparib,650,0.4363955042503525,0.0967104548747403,5455.594781168515,True
Palbociclib,699,0.43638060704700016,0.12822750063005106,5455.594781168515,True
PD0325901,699,0.43277650992580086,0.05820599651790227,5455.594781168515,True
Cisplatin,577,0.43186014656061256,0.06468006360489421,2636.6508987303555,True
ABT737,691,0.429347533146626,0.08523231195078074,5455.594781168515,True
EPZ5676,694,0.42383060905662456,0.07411222094130313,5455.594781168515,True
Temozolomide,697,0.42230727655689887,0.12171225814555296,5455.594781168515,True
N29087-69-1,566,0.4196927116883587,0.0933240085138431,5455.594781168515,True
Teniposide,542,0.41899606699150943,0.08695340128049088,2636.6508987303555,True
MK-1775,698,0.41832657227048475,0.0753780924329218,2636.6508987303555,True
Irinotecan,697,0.4182683139530338,0.08874961014078939,2636.6508987303555,True
I-BRD9,692,0.41815061076568655,0.10428822762533096,11288.378916846883,True
GSK2256098C,542,0.4175020234508701,0.06412302108827553,5455.594781168515,True
N30652-18-1,566,0.417090256684329,0.10186805456776023,11288.378916846883,True
Vinorelbine,689,0.4165651649760035,0.11262080255719548,2636.6508987303555,True
AZD1208,544,0.41473129014353544,0.03261396386484543,11288.378916846883,True
Entinostat,651,0.4108856522001023,0.05114189570296851,5455.594781168515,True
Zoledronate,542,0.4102115558567509,0.052421603000841976,5455.594781168515,True
Crizotinib,697,0.4075221141008162,0.08163755529551528,5455.594781168515,True
LMB_AB2,542,0.4050425913001602,0.10259686647628442,5455.594781168515,True
N25720-51-A1,566,0.4040643634675595,0.14133273047986264,2636.6508987303555,True
Vinblastine,564,0.3984370637413652,0.05075011060989557,2636.6508987303555,True
PBD-288,563,0.3977655381573687,0.048189583454164235,2636.6508987303555,True
Bosutinib,684,0.39368106237167083,0.10936313009302333,5455.594781168515,True
Veliparib,684,0.39346227839655024,0.09883435953088687,11288.378916846883,True
Dasatinib,694,0.39201616062867534,0.04462384959475726,2636.6508987303555,True
Navitoclax,698,0.39028384657948656,0.06903947732333733,11288.378916846883,True
YK-4-279,692,0.38981188402940536,0.073135020881049,2636.6508987303555,True
RO-3306,692,0.3897088593828624,0.07918308899195137,5455.594781168515,True
Acetalax,542,0.3886899297922478,0.055270957339955774,5455.594781168515,True
Gemcitabine,696,0.388338056905123,0.09534429116450421,2636.6508987303555,True
Selumetinib,698,0.38700046823178325,0.07429854940397124,5455.594781168515,True
EPZ004777,697,0.38617033569286957,0.0978714865196296,11288.378916846883,True
PCI-34051,647,0.3849544289824108,0.0814967922761696,11288.378916846883,True
Alisertib,684,0.38483839064748404,0.05510340833010107,5455.594781168515,True
N27922-53-1,566,0.38384107975299747,0.09278042563660964,11288.378916846883,True
Lestaurtinib,683,0.3828068025839194,0.09347367600624602,11288.378916846883,True
5-Fluorouracil,699,0.3826977722111257,0.11243670201922808,2636.6508987303555,True
50869,542,0.3824188574216274,0.05696299831400705,2636.6508987303555,True
Sorafenib,692,0.3818936740920566,0.060008632661536124,5455.594781168515,True
POMHEX,563,0.3809518269885663,0.07414155941449717,5455.594781168515,True
Camptothecin,699,0.38024070405724314,0.08367423152913495,2636.6508987303555,True
Motesanib,684,0.37948624991382146,0.06993206075175935,11288.378916846883,True
SCH772984,696,0.3788025457522434,0.06647964617832965,5455.594781168515,True
GSK2830371A,542,0.37854464809534355,0.05981276209009044,5455.594781168515,True
Epirubicin,692,0.3773464255837541,0.10418161982413217,2636.6508987303555,True
Serdemetan,684,0.3755718250206434,0.13957553906874598,5455.594781168515,True
