drug,gene,mean_abs_shap,mean_shap,direction,direction_corrected,ridge_coef
AZD5991,BCL2L1,0.03391402,-7.3863515e-10,sensitivity,resistance,0.09036531095768274
AZD5991,RERG,0.02871012,-3.297096e-09,sensitivity,sensitivity,-0.04502326316891418
AZD5991,CYTL1,0.027585333,5.24538e-10,resistance,resistance,0.03627978831840562
AZD5991,SAA2,0.02523266,1.049076e-09,resistance,sensitivity,-0.033854181224001155
AZD5991,ITGA11,0.024621172,-7.2793027e-10,sensitivity,sensitivity,-0.03353058762090513
AZD5991,GBP5,0.02418347,-1.4558605e-09,sensitivity,resistance,0.045351139872012405
AZD5991,AGA,0.022556536,-2.5691657e-10,sensitivity,resistance,0.0482268578638943
AZD5991,MFAP5,0.021738319,1.8412354e-09,resistance,resistance,0.026137880051300334
AZD5991,STEAP4,0.021735707,-2.397888e-09,sensitivity,sensitivity,-0.02517103164513012
AZD5991,MSR1,0.021623576,-2.99736e-10,sensitivity,resistance,0.041809654433851665
AZD5991,UPK1B,0.021079972,1.7127771e-09,resistance,resistance,0.02453689317614337
AZD5991,DCN,0.020822575,0.0,sensitivity,sensitivity,-0.02290440293698224
AZD5991,SAMSN1,0.020293832,-1.198944e-09,sensitivity,resistance,0.02957397960895841
AZD5991,EGLN3,0.020270618,1.4772703e-09,resistance,resistance,0.042743597163253017
AZD5991,NCF2,0.019953366,-1.9268744e-10,sensitivity,resistance,0.041958039663824595
AZD5991,FGF18,0.019893935,7.4934e-10,resistance,resistance,0.023682189639202524
AZD5991,S100A8,0.01983855,1.0276663e-09,resistance,sensitivity,-0.034501851391983133
AZD5991,ARHGAP44,0.01923045,-1.6271383e-09,sensitivity,sensitivity,-0.03188905444311392
AZD5991,FBXO2,0.019180976,-6.2088173e-10,sensitivity,resistance,0.03417028477569199
AZD5991,KLK7,0.018789787,-1.2417635e-09,sensitivity,resistance,0.023895292493685653
Schweinfurthin A,SGPP2,0.021987988,-2.5691657e-10,sensitivity,resistance,0.03334990161277727
Schweinfurthin A,TAFA5,0.021827914,-8.563886e-11,sensitivity,sensitivity,-0.04086965993872447
Schweinfurthin A,IGFL2,0.02147156,-3.211457e-11,sensitivity,resistance,0.02980138064995719
Schweinfurthin A,RGS16,0.021365572,6.208817e-09,resistance,sensitivity,-0.037426447433134453
Schweinfurthin A,ANGPTL2,0.020963028,7.7074974e-10,resistance,sensitivity,-0.03724181148469669
Schweinfurthin A,EID3,0.020898487,2.8260823e-09,resistance,resistance,0.03438447573274767
Schweinfurthin A,SUSD2,0.020841423,8.3497886e-10,resistance,sensitivity,-0.030497839268754892
Schweinfurthin A,GPR183,0.020735312,7.4934e-11,resistance,resistance,0.03061704214075336
Schweinfurthin A,ATL1,0.020566108,0.0,sensitivity,resistance,0.03969376027110553
Schweinfurthin A,CHI3L1,0.019134928,-7.4934e-10,sensitivity,sensitivity,-0.02543137759063312
Schweinfurthin A,NPR3,0.019044358,-5.8876716e-11,sensitivity,resistance,0.03046707518422711
Schweinfurthin A,KLHL4,0.019011121,-6.2088173e-10,sensitivity,sensitivity,-0.044212686903710254
Schweinfurthin A,CD248,0.018951027,1.7127771e-10,resistance,sensitivity,-0.021763813629264665
Schweinfurthin A,GALNT9,0.018615592,1.49868e-10,resistance,resistance,0.0275897117454982
Schweinfurthin A,FCER1G,0.018403448,-4.0678458e-10,sensitivity,resistance,0.023421196026631556
Schweinfurthin A,PI3,0.018093927,-8.1356916e-10,sensitivity,resistance,0.03175382245926536
Schweinfurthin A,SLCO2A1,0.017865157,-1.0704857e-10,sensitivity,resistance,0.03248939958967598
Schweinfurthin A,RTP4,0.017837238,2.24802e-10,resistance,sensitivity,-0.02750333575269124
Schweinfurthin A,KLK7,0.017564481,-3.8537487e-10,sensitivity,resistance,0.02166694344568362
Schweinfurthin A,WNK4,0.017418232,-1.49868e-09,sensitivity,resistance,0.03170926739046631
Venetoclax,MFAP5,0.013889366,3.4255543e-10,resistance,resistance,0.03161051052395963
Venetoclax,CYTH4,0.013393163,-4.4425158e-10,sensitivity,sensitivity,-0.029369078999542053
Venetoclax,SSC5D,0.012403536,1.049076e-09,resistance,sensitivity,-0.028030312336913166
Venetoclax,ZNF32,0.011964472,1.7127771e-10,resistance,sensitivity,-0.04756881771021459
Venetoclax,CALHM6,0.011961523,3.8537487e-10,resistance,resistance,0.03432381215829671
Venetoclax,ADAM28,0.011915781,-6.422914e-11,sensitivity,resistance,0.03822039494606681
Venetoclax,P2RY6,0.011878644,3.2114572e-10,resistance,sensitivity,-0.028845208267377735
Venetoclax,TMEM176A,0.011713709,-1.2845829e-09,sensitivity,resistance,0.021238659397222734
Venetoclax,CD33,0.011648541,1.9268744e-10,resistance,sensitivity,-0.0200082592069896
Venetoclax,TLR4,0.011615386,6.422914e-11,resistance,resistance,0.024639173100489613
Venetoclax,HGF,0.011604383,7.0652056e-10,resistance,resistance,0.01991024799426623
Venetoclax,BCL2L1,0.011222446,6.8511086e-10,resistance,resistance,0.042223114116372376
Venetoclax,TMEM176B,0.010694375,1.6378432e-09,resistance,resistance,0.02114980403091689
Venetoclax,ABCA1,0.010349682,8.563886e-11,resistance,resistance,0.030573579119274878
Venetoclax,LRRN1,0.010267171,1.0704857e-10,resistance,resistance,0.013675424063039485
Venetoclax,FES,0.010208615,-9.634372e-11,sensitivity,sensitivity,-0.01716649057237475
Venetoclax,ADGRE2,0.010196267,4.977759e-10,resistance,sensitivity,-0.023423467586020534
Venetoclax,PTX3,0.010117857,-2.1409714e-11,sensitivity,resistance,0.02136434168693856
Venetoclax,SUGCT,0.009973385,6.6370115e-10,resistance,resistance,0.025705308173990655
Venetoclax,NUDT11,0.009939921,-2.5691657e-10,sensitivity,resistance,0.021957760239533088
